Designator,Mid X,Mid Y,Rotation,Layer
C1,223.5,-56.8,180.0,top
C10,224.15,-72.95,0.0,top
C11,227.3,-72.9,180.0,top
C12,228.25,-41.75,0.0,top
C13,237.75,-53.85,270.0,top
C14,237.55,-59.6,90.0,top
C15,262.85,-86.35,180.0,top
C16,242.85,-86.35,180.0,top
C17,222.9,-86.35,180.0,top
C18,202.4,-86.35,180.0,top
C19,182.55,-86.3,180.0,top
C2,219.3,-65.7,270.0,top
C20,215.85,-29.85,180.0,top
C21,207.5,-61.47,180.0,top
C3,232.75,-60.85,90.0,top
C4,223.4,-70.05,180.0,top
C5,228.15,-55.9,90.0,top
C6,227.8,-69.95,0.0,top
C7,233.1,-70.6,90.0,top
C8,238.3,-70.55,90.0,top
C9,219.55,-70.7,270.0,top
CN1,254.3,-113.41,180.0,top
CN2,235.0,-24.6,180.0,top
D1,152.855186,-29.359527,0.0,bottom
D2,232.65,-30.45,90.0,top
KAL1,161.535186,-56.3,0.0,top
KAL2,142.485186,-56.3,0.0,top
KAL3,161.535186,-75.35,0.0,top
KAL4,142.485186,-75.35,0.0,top
KAL5,161.535186,-94.4,0.0,top
KAL6,142.485186,-94.4,0.0,top
L1,235.65,-69.8,0.0,top
LED1,273.3,-90.955835,270.0,bottom
LED10,253.3,-82.384406,270.0,bottom
LED11,253.3,-73.812978,270.0,bottom
LED12,253.3,-65.241549,270.0,bottom
LED13,253.3,-56.670121,270.0,bottom
LED14,253.3,-48.098692,270.0,bottom
LED15,253.3,-39.527264,270.0,bottom
LED16,253.3,-30.955835,270.0,bottom
LED17,233.3,-90.955835,270.0,bottom
LED18,233.3,-82.384406,270.0,bottom
LED19,233.3,-73.812978,270.0,bottom
LED2,273.3,-82.384406,270.0,bottom
LED20,233.3,-65.241549,270.0,bottom
LED21,233.3,-56.670121,270.0,bottom
LED22,233.3,-48.098692,270.0,bottom
LED23,233.3,-39.527264,270.0,bottom
LED24,233.3,-30.955835,270.0,bottom
LED25,213.3,-90.955835,270.0,bottom
LED26,213.3,-82.384406,270.0,bottom
LED27,213.3,-73.812978,270.0,bottom
LED28,213.3,-65.241549,270.0,bottom
LED29,213.3,-56.670121,270.0,bottom
LED3,273.3,-73.812978,270.0,bottom
LED30,213.3,-48.098692,270.0,bottom
LED31,213.3,-39.527264,270.0,bottom
LED32,213.3,-30.955835,270.0,bottom
LED33,193.18,-90.955835,270.0,bottom
LED34,193.18,-82.384406,270.0,bottom
LED35,193.18,-73.812978,270.0,bottom
LED36,193.18,-65.241549,270.0,bottom
LED37,193.18,-56.670121,270.0,bottom
LED38,193.18,-48.098692,270.0,bottom
LED39,193.18,-39.527264,270.0,bottom
LED4,273.3,-65.241549,270.0,bottom
LED40,193.18,-30.955835,270.0,bottom
LED41,162.415186,-47.17,0.0,bottom
LED42,143.365186,-47.17,0.0,bottom
LED43,162.415186,-66.22,0.0,bottom
LED44,143.365186,-66.22,0.0,bottom
LED45,162.415186,-85.27,0.0,bottom
LED46,143.365186,-85.27,0.0,bottom
LED47,242.75,-47.15,180.0,top
LED5,273.3,-56.670121,270.0,bottom
LED6,273.3,-48.098692,270.0,bottom
LED7,273.3,-39.527264,270.0,bottom
LED8,273.3,-30.955835,270.0,bottom
LED9,253.3,-90.955835,270.0,bottom
R1,250.25,-119.45,0.0,top
R2,257.65,-119.45,180.0,top
R3,255.0,-32.6,90.0,top
R4,223.3,-52.5,0.0,top
R5,242.6,-44.6,0.0,top
S1,265.7,-59.242263,90.0,bottom
S2,245.575,-59.242263,90.0,bottom
S3,225.45,-59.242263,90.0,bottom
S4,205.325,-59.242263,90.0,bottom
S5,185.2,-59.242263,90.0,bottom
SW1,254.8,-28.1,180.0,top
U1,226.05,-63.4,270.0,top
U2,197.75,-27.48,90.0,top
U3,234.68,-48.15,0.0,top
U4,241.45,-61.0,270.0,top
U5,205.53,-66.86,180.0,top
USB1,254.45,-124.65,0.0,top
X1,225.85,-76.1,0.0,top
